Description,Price,Rating,Reviews Count,URL,Image link
"Samsung Galaxy A03 Black, 4GB RAM, 64GB Storage Without Offers","₹14,499",3.7 out of 5 stars,154,https://www.amazon.in/Samsung-Galaxy-Storage-Without-Offers/dp/B09TNPDZ3R/ref=sr_1_27?keywords=samsung+m13&qid=1671030568&sr=8-27,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/417iF-mQUkL._AC_UY218_.jpg
"Samsung Galaxy A23 Black, 8GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers","₹19,999",4.0 out of 5 stars,629,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09VK5Y947/ref=sr_1_28?keywords=samsung+m13&qid=1671030568&sr=8-28,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/91MIInCGpML._AC_UY218_.jpg
"Samsung Galaxy Z Flip4 5G (Bora Purple, 8GB RAM, 128GB Storage) Without Offers","₹85,990",4.2 out of 5 stars,102,https://www.amazon.in/Samsung-Galaxy-Purple-Storage-Without/dp/B0B8ZCCJ4G/ref=sr_1_29?keywords=samsung+m13&qid=1671030568&sr=8-29,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/41kt8GCwo5L._AC_UY218_.jpg
"Samsung Galaxy M32 Prime Edition (Black, 4GB RAM, 64GB)","₹13,499",4.1 out of 5 stars,"55,099",https://www.amazon.in/Samsung-Galaxy-Prime-Black-64GB/dp/B0BD3T6MGJ/ref=sr_1_30?keywords=samsung+m13&qid=1671030568&sr=8-30,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81Jov18YvpL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy A13 Black, 4GB RAM, 64GB Storage with No Cost EMI/Additional Exchange Offers, (SM-A135FZKGINS)","₹12,323",2.8 out of 5 stars,15,https://www.amazon.in/Renewed-Samsung-Additional-Exchange-SM-A135FZKGINS/dp/B09YR6MDQP/ref=sr_1_31?keywords=samsung+m13&qid=1671030568&sr=8-31,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81H6vveSIZL._AC_UY218_.jpg
"Samsung Galaxy A23 Blue, 8GB RAM, 128GB Storage with No Cost EMI/Additional Exchange Offers","₹19,999",4.0 out of 5 stars,629,https://www.amazon.in/Samsung-Galaxy-Storage-Additional-Exchange/dp/B09VK34ZZR/ref=sr_1_32?keywords=samsung+m13&qid=1671030568&sr=8-32,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/91W42b8YW+L._AC_UY218_.jpg
"(Renewed) Samsung Galaxy A52 (Black, 6GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹22,996",3.0 out of 5 stars,17,https://www.amazon.in/Renewed-Samsung-Storage-Additional-Exchange/dp/B095C8CYB1/ref=sr_1_33?keywords=samsung+m13&qid=1671030568&sr=8-33,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/61teAuroRES._AC_UY218_.jpg
"Samsung Galaxy M13 5G (Aqua Green, 6GB, 128GB Storage) | 5000mAh Battery | Upto 12GB RAM with RAM Plus","₹15,999",4.0 out of 5 stars,"16,878",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0OTI2MjY2NDE4NDUzMzYxOjE2NzEwMzA1NzA6c3BfYXRmX25leHQ6MjAwNjMyMjA0MDMzOTg6OjA6Og&url=%2FSamsung-Galaxy-Storage-5000mAh-Battery%2Fdp%2FB0B4F3QNDM%2Fref%3Dsr_1_33_sspa%3Fkeywords%3Dsamsung%2Bm13%26qid%3D1671030570%26sr%3D8-33-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/81AQybT5k6L._AC_UY218_.jpg
"(Renewed) Samsung Galaxy M32 5G (Slate Black, 8GB RAM, 128GB Storage)","₹18,999",3.5 out of 5 stars,21,https://www.amazon.in/Renewed-Samsung-Galaxy-Slate-Storage/dp/B09NMD1ZSM/ref=sr_1_34?keywords=samsung+m13&qid=1671030570&sr=8-34,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71XIE-Lym4L._AC_UY218_.jpg
"Samsung Galaxy F41 (Fusion Green, 6GB RAM, 128GB Storage)","₹17,997",3.8 out of 5 stars,210,https://www.amazon.in/Samsung-Galaxy-Fusion-Green-Storage/dp/B08ZNH6TBD/ref=sr_1_35?keywords=samsung+m13&qid=1671030570&sr=8-35,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/51WzXB9JaUL._AC_UY218_.jpg
"(Renewed) Samsung Galaxy M32 5G (Sky Blue, 8GB RAM, 128GB Storage)","₹18,990",3.5 out of 5 stars,21,https://www.amazon.in/Renewed-Samsung-Galaxy-128GB-Storage/dp/B09NMCZGSM/ref=sr_1_36?keywords=samsung+m13&qid=1671030570&sr=8-36,https://m.media-amazon.com/images/W/WEBP_402378-T2/images/I/71sdB9hYzIL._AC_UY218_.jpg
